symbol,time,pattern,direction,entry,stop,stop_pips,baseline,baseline_mfe,cf_max_R_480,cf_min_R_480,sl_bar,hit_0.5R_bar,hit_1R_bar,hit_1.5R_bar,hit_2R_bar,hit_2.5R_bar,hit_3R_bar,hit_4R_bar,hit_5R_bar,min_R_after_1_before_2,lock1_after2_target2.5_R,lock1_after2_target2.5_why,lock1_after2_target3_R,lock1_after2_target3_why,lock1_after2_target4_R,lock1_after2_target4_why,lock1_after2_target5_R,lock1_after2_target5_why
EURUSD,2017-01-26T14:15:00+00:00,BEAR_FLAG,SHORT,1.06832,1.070856,25.360000000000937,LOSS,1.009463722397398,2.480283911671796,-5.741324921135485,95.0,6,9.0,183.0,184.0,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2017-01-26T15:45:00+00:00,BEAR_FLAG,SHORT,1.06712,1.06949425,23.74249999999911,LOSS,0.5728124670949052,2.143834895230169,-6.637885648099647,9.0,2,177.0,177.0,181.0,,,,,1.1793197851954262,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2018-10-15T10:45:00+00:00,BULL_FLAG,LONG,1.15988,1.1583260000000002,15.539999999998331,LOSS,0.0257400257400542,1.4414414414416088,-10.66280566280679,4.0,105,105.0,,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2018-10-16T08:30:00+00:00,BULL_FLAG,LONG,1.32012,1.3177564999999998,23.63500000000185,LOSS,1.4808546646921028,1.4808546646921028,-11.186799238416734,34.0,7,8.0,,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
GBPUSD,2018-10-16T11:45:00+00:00,BULL_FLAG,LONG,1.32266,1.32119,14.699999999998605,LOSS,0.1292517006803759,0.6530612244899069,-19.71428571428759,3.0,5,,,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2018-10-25T15:00:00+00:00,BEAR_FLAG,SHORT,1.13717,1.138783,16.129999999998645,WIN,2.2132672039679933,4.3211407315558255,-3.0502169869806393,98.0,10,75.0,79.0,82.0,363.0,375.0,389.0,,0.5455672659640078,1.0,LOCK,1.0,LOCK,1.0,LOCK,1.0,LOCK
EURUSD,2019-01-07T01:30:00+00:00,BULL_FLAG,LONG,1.14196,1.14034,16.199999999999548,WIN,2.0370370370370066,9.2654320987644,-0.5925925925925722,,10,25.0,30.0,47.0,50.0,50.0,244.0,244.0,0.5185185185184322,2.5,TARGET,3.0,TARGET,1.0,LOCK,1.0,LOCK
EURUSD,2019-01-07T13:15:00+00:00,BULL_FLAG,LONG,1.14517,1.14356125,16.087499999999366,WIN,2.0326340326340406,7.334887334887644,-1.833721833721911,58.0,3,3.0,19.0,44.0,197.0,197.0,197.0,199.0,0.11810411810406835,1.0,LOCK,1.0,LOCK,1.0,LOCK,1.0,LOCK
EURUSD,2019-01-07T18:00:00+00:00,BULL_FLAG,LONG,1.14797,1.14556575,24.042499999998856,LOSS,0.1954871581574265,3.743371113653134,-2.391598211500549,30.0,178,178.0,178.0,180.0,181.0,196.0,,,1.2436310699803226,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
EURUSD,2019-01-17T07:15:00+00:00,BEAR_FLAG,SHORT,1.1377,1.1399,21.9999999999998,LOSS,0.2409090909090565,1.8590909090908931,-1.5136363636364025,8.0,128,132.0,315.0,,,,,,,-1.0,SL,-1.0,SL,-1.0,SL,-1.0,SL
