symbol,window,time,agent,pattern,direction,entry,stop,stop_pips,fib_state,fib_pct,outcome,R,mfe_R,mae_R,bars_to_resolution,event_id,atr_pips,stop_atr,year
EURUSD,2015_A,2015-03-11T04:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06672,1.06904,23.200000000000998,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.06896551724134961,1.1077586206896866,6,M15_FLAG_PENNANT|2015-03-11T04:00:00+00:00|1.06672,7.657142857142743,3.029850746268832,2015
EURUSD,2015_A,2015-03-11T09:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.06191,1.0665619999999998,46.51999999999878,ACTIVE_SHALLOW,0.0,WIN,2.0,2.08082545141878,0.1913155631986416,33,M15_FLAG_PENNANT|2015-03-11T09:15:00+00:00|1.06191,16.478571428571215,2.8230602514087186,2015
EURUSD,2015_A,2015-03-11T10:30:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.05622,1.06254075,63.20749999999986,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.0015820907328787707,1.041015702250531,7,M15_FLAG_PENNANT|2015-03-11T10:30:00+00:00|1.05622,20.614285714285312,3.0661988911989444,2015
EURUSD,2015_B,2015-08-20T00:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11396,1.11138,25.800000000000267,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.3410852713178228,1.25581395348841,31,M15_FLAG_PENNANT|2015-08-20T00:00:00+00:00|1.11396,5.249999999999977,4.9142857142857865,2015
EURUSD,2015_B,2015-08-20T10:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11766,1.11501275,26.47250000000101,ACTIVE_SHALLOW,0.2589,WIN,2.0,2.519595806969383,0.9330437246199264,37,M15_FLAG_PENNANT|2015-08-20T10:45:00+00:00|1.11766,13.28571428571425,1.9925537634409416,2015
EURUSD,2015_B,2015-08-20T12:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11835,1.1164915000000002,18.58499999999763,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.06456820016149331,1.059994619316803,2,M15_FLAG_PENNANT|2015-08-20T12:00:00+00:00|1.11835,12.19999999999967,1.5233606557375519,2015
EURUSD,2015_B,2015-08-20T16:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.12028,1.11882525,14.547499999999491,ACTIVE_SHALLOW,8.9854,LOSS,-1.0,0.7011514005843317,1.347310534456113,7,M15_FLAG_PENNANT|2015-08-20T16:00:00+00:00|1.12028,14.085714285714415,1.0327839756591837,2015
EURUSD,2015_B,2015-08-24T02:30:00+00:00,M15_FLAG_PENNANT,BULL_PENNANT,LONG,1.14732,1.1420685,52.514999999999645,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.47795867847282286,1.009235456536208,14,M15_FLAG_PENNANT|2015-08-24T02:30:00+00:00|1.14732,16.657142857143178,3.1527015437391976,2015
EURUSD,2015_B,2015-08-25T20:00:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,LONG,1.14988,1.1404517499999998,94.28250000000249,ACTIVE_LATCHED_RECOVERY,31.1108,LOSS,-1.0,0.6586588179142349,1.0436719433616855,64,M15_TRIANGLE_WEDGE|2015-08-25T20:00:00+00:00|1.14988,18.3928571428571,5.126038834951603,2015
EURUSD,2015_B,2015-08-25T21:00:00+00:00,M15_CHANNEL,,LONG,1.14988,1.14339175,64.88250000000085,ACTIVE_LATCHED_RECOVERY,28.3194,LOSS,-1.0,0.9571147844179815,1.103533310214613,54,M15_CHANNEL|2015-08-25T20:00:00+00:00|1.14988,18.65714285714264,3.4776225114855372,2015
EURUSD,2015_B,2015-08-25T23:45:00+00:00,M15_TRIANGLE_WEDGE,ASCENDING_TRIANGLE,LONG,1.1553,1.150917,43.830000000000254,ACTIVE_LATCHED_RECOVERY,23.2716,LOSS,-1.0,0.18024184348621122,1.063198722336267,4,M15_TRIANGLE_WEDGE|2015-08-25T23:45:00+00:00|1.1553,13.042857142856784,3.360460021905917,2015
GBPUSD,2016_A,2016-06-14T05:30:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.41753,1.421831,43.0100000000011,ACTIVE_LATCHED_RECOVERY,17.3264,WIN,2.0,2.011160195303377,0.3324808184143236,64,M15_TRIANGLE_WEDGE|2016-06-14T05:30:00+00:00|1.41753,7.47857142857189,5.7510983763130685,2016
GBPUSD,2016_A,2016-06-16T05:15:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.41613,1.4210074999999998,48.77499999999646,ACTIVE_LATCHED_RECOVERY,30.322,WIN,2.0,2.148641722193912,0.8939005638134774,35,M15_TRIANGLE_WEDGE|2016-06-16T05:15:00+00:00|1.41613,9.10714285714225,5.355686274509772,2016
GBPUSD,2016_A,2016-06-16T10:45:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.41235,1.41921275,68.62750000000028,ACTIVE_LATCHED_RECOVERY,14.5128,LOSS,-1.0,1.6203416997559248,1.3595133146333498,23,M15_TRIANGLE_WEDGE|2016-06-16T10:45:00+00:00|1.41235,24.96428571428542,2.7490271816881697,2016
GBPUSD,2016_A,2016-06-16T13:00:00+00:00,M15_IMPULSE_CORRECTION,,SHORT,1.40974,1.4156157500000002,58.75750000000179,ACTIVE_LATCHED_RECOVERY,3.5968,LOSS,-1.0,1.4483257456494503,1.2168659320086408,13,M15_IMPULSE_CORRECTION|2016-06-16T13:00:00+00:00|1.40974,20.664285714285484,2.843432423090336,2016
EURUSD,2017_A,2017-01-17T02:15:00+00:00,M15_IMPULSE_CORRECTION,,LONG,1.06116,1.0599402500000001,12.19749999999964,ACTIVE_LATCHED_RECOVERY,25.0896,WIN,2.0,2.1069891371182923,0.18856323017026547,7,M15_IMPULSE_CORRECTION|2017-01-17T02:15:00+00:00|1.06116,6.6714285714283434,1.8283190578158541,2017
EURUSD,2017_A,2017-01-17T04:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.06353,1.06133375,21.962500000001217,ACTIVE_SHALLOW,0.0,WIN,2.0,2.058053500284397,0.13659647125790433,22,M15_FLAG_PENNANT|2017-01-17T04:00:00+00:00|1.06353,7.135714285714403,3.0778278278279476,2017
EURUSD,2017_A,2017-01-17T05:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.06575,1.0638085000000002,19.414999999998184,ACTIVE_SHALLOW,2.7397,WIN,2.0,2.3074942055114387,0.8756116404842615,22,M15_FLAG_PENNANT|2017-01-17T05:45:00+00:00|1.06575,8.057142857142827,2.4096631205671595,2017
