time,agent,status,pattern_type,direction,entry_reference,raw_stop_anchor,applied_buffer,final_stop,trigger_time,event_id,freshness,reason_code,coordination_state,confirmations,duplicates,conflicts
2021-05-03T04:15:00+00:00,M15_FLAG_PENNANT,VALID_TRIGGER,BEAR_FLAG,SHORT,1.20181,1.20239,0.00012000000000000002,1.20251,2021-05-03T04:15:00+00:00,M15_FLAG_PENNANT|2021-05-03T04:15:00+00:00|1.20181,VALID,BEAR_FLAG_PENNANT_BREAKOUT_VALID_TRIGGER,READY_FOR_SUPERVISOR_REVIEW,0,0,0
2021-05-03T12:45:00+00:00,M15_HEAD_SHOULDERS,VALID_TRIGGER,HEAD_SHOULDERS,SHORT,1.2043,1.20538,0.00012000000000000002,1.2054999999999998,2021-05-03T12:45:00+00:00,M15_HEAD_SHOULDERS|2021-05-03T12:45:00+00:00|1.2043,VALID,HEAD_SHOULDERS_NECKLINE_BREAK_VALID_TRIGGER,READY_FOR_SUPERVISOR_REVIEW,0,0,0
2021-05-03T22:15:00+00:00,M15_TRIANGLE_WEDGE,VALID_TRIGGER,DESCENDING_TRIANGLE,SHORT,1.20601,1.206615,0.00012000000000000002,1.206735,2021-05-03T22:15:00+00:00,M15_TRIANGLE_WEDGE|2021-05-03T22:15:00+00:00|1.20601,VALID,BEAR_TRIANGLE_WEDGE_STRUCTURAL_BREAK_VALID_TRIGGER,READY_FOR_SUPERVISOR_REVIEW,0,0,0
2021-05-04T08:45:00+00:00,M15_FLAG_PENNANT,VALID_TRIGGER,BEAR_FLAG,SHORT,1.20032,1.20219,0.00012000000000000002,1.20231,2021-05-04T08:45:00+00:00,M15_FLAG_PENNANT|2021-05-04T08:45:00+00:00|1.20032,VALID,BEAR_FLAG_PENNANT_BREAKOUT_VALID_TRIGGER,READY_FOR_SUPERVISOR_REVIEW,0,0,0
2021-05-04T12:45:00+00:00,M15_MULTIPLE_TOP_BOTTOM,EARLY_REVERSAL_CANDIDATE,DOUBLE_TOP,SHORT,1.20257,1.20652,0.0001375000000000015,1.2066575,2021-05-04T12:45:00+00:00,M15_MULTIPLE_TOP_BOTTOM|2021-05-04T12:45:00+00:00|1.20257,VALID,BEARISH_NECKLINE_BREAK_EARLY_REVERSAL_CANDIDATE,WAITING_FOR_CONFIRMATION,0,0,0
2021-05-05T05:45:00+00:00,M15_TRIANGLE_WEDGE,VALID_TRIGGER,RISING_WEDGE,SHORT,1.20121,1.2024599999999999,0.00012000000000000002,1.2025799999999998,2021-05-05T05:45:00+00:00,M15_TRIANGLE_WEDGE|2021-05-05T05:45:00+00:00|1.20121,VALID,BEAR_TRIANGLE_WEDGE_STRUCTURAL_BREAK_VALID_TRIGGER,READY_FOR_SUPERVISOR_REVIEW,0,0,0
2021-05-05T06:45:00+00:00,M15_FLAG_PENNANT,VALID_TRIGGER,BEAR_FLAG,SHORT,1.19996,1.20172,0.00012000000000000002,1.2018399999999998,2021-05-05T06:45:00+00:00,M15_FLAG_PENNANT|2021-05-05T06:45:00+00:00|1.19996,VALID,BEAR_FLAG_PENNANT_BREAKOUT_VALID_TRIGGER,READY_FOR_SUPERVISOR_REVIEW,0,0,0
2021-05-05T10:00:00+00:00,M15_MULTIPLE_TOP_BOTTOM,EARLY_REVERSAL_CANDIDATE,DOUBLE_TOP,SHORT,1.20095,1.20161,0.0001217500000000038,1.20173175,2021-05-05T10:00:00+00:00,M15_MULTIPLE_TOP_BOTTOM|2021-05-05T10:00:00+00:00|1.20095,VALID,BEARISH_NECKLINE_BREAK_EARLY_REVERSAL_CANDIDATE,WAITING_FOR_CONFIRMATION,0,0,0
2021-05-05T12:15:00+00:00,M15_IMPULSE_CORRECTION,VALID_TRIGGER,,SHORT,1.19955,1.20197,0.00012000000000000002,1.2020899999999999,2021-05-05T12:15:00+00:00,M15_IMPULSE_CORRECTION|2021-05-05T12:15:00+00:00|1.19955,VALID,BEARISH_BOS_CONFIRMED_VALID_TRIGGER,READY_FOR_SUPERVISOR_REVIEW,0,0,0
