symbol,window,time,agent,pattern,direction,entry,stop,stop_pips,fib_state,fib_pct,outcome,R,mfe_R,mae_R,bars_to_resolution,event_id,atr_pips,stop_atr,year,atr_pips_calc,stop_atr_calc,first2_idx,pre2_mae_calc,post2_maxR,post2_minR,stopped_after2,bars_after2_to_stop,hour_utc,trail2R_R,baseline_R
GBPUSD,2018_A,2018-10-16 08:30:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.32012,1.3177564999999998,23.63500000000185,ACTIVE_SHALLOW,0.0,LOSS,-1.0,1.4808546646921028,1.2904590649459524,34,M15_FLAG_PENNANT|2018-10-16T08:30:00+00:00|1.32012,12.692857142857664,1.8620709060214533,2018,11.70000000000036,2.020085470085566,,-1.2904590649459524,,,False,,8.5,-1.0,-1.0
GBPUSD,2018_A,2018-10-16 11:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.32266,1.32119,14.699999999998605,ACTIVE_SHALLOW,3.9024,LOSS,-1.0,0.1292517006803759,1.258503401360601,3,M15_FLAG_PENNANT|2018-10-16T11:45:00+00:00|1.32266,12.242857142857094,1.200700116686005,2018,12.085714285714475,1.2163120567374537,,-1.258503401360601,,,False,,11.75,-1.0,-1.0
EURUSD,2018_A,2018-10-25 15:00:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.13717,1.138783,16.129999999998645,ACTIVE_SHALLOW,1.6155,WIN,2.0,2.2132672039679933,0.7377557346559978,82,M15_FLAG_PENNANT|2018-10-25T15:00:00+00:00|1.13717,14.542857142856937,1.109135559921337,2018,14.0857142857141,1.1451318458418616,134540.0,-0.7377557346558962,2.244265344079208,-1.4073155610662569,True,16.0,15.0,1.2442653440792077,2.0
EURUSD,2019_A,2019-01-07 01:30:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14196,1.14034,16.199999999999548,ACTIVE_LATCHED_RECOVERY,0.0,WIN,2.0,2.0370370370370066,0.5925925925926535,47,M15_FLAG_PENNANT|2019-01-07T01:30:00+00:00|1.14196,4.764285714286157,3.400299850074552,2019,4.578571428571765,3.5382215288612806,139288.0,-0.5925925925925722,9.2654320987644,0.1604938271604312,False,,1.5,2.277777777777374,2.0
EURUSD,2019_A,2019-01-07 13:15:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14517,1.14356125,16.087499999999366,ACTIVE_LATCHED_RECOVERY,0.0,WIN,2.0,2.0326340326340406,0.2797202797203289,44,M15_FLAG_PENNANT|2019-01-07T13:15:00+00:00|1.14517,6.407142857142643,2.510869565217376,2019,6.185714285714049,2.6007505773672026,139332.0,-0.5656565656565671,2.0,-1.0318570318570692,True,14.0,13.25,1.0,2.0
EURUSD,2019_A,2019-01-07 18:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.14797,1.14556575,24.042499999998856,ACTIVE_LATCHED_RECOVERY,0.0,LOSS,-1.0,0.1954871581574265,1.0647811167723895,30,M15_FLAG_PENNANT|2019-01-07T18:00:00+00:00|1.14797,8.650000000000205,2.7794797687859294,2019,8.435714285714514,2.850084674004868,,-1.0647811167723895,,,False,,18.0,-1.0,-1.0
EURUSD,2019_A,2019-01-17 07:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.1377,1.1399,21.9999999999998,ACTIVE_LATCHED_RECOVERY,0.0,LOSS,-1.0,0.2409090909090565,1.1136363636364026,8,M15_FLAG_PENNANT|2019-01-17T07:15:00+00:00|1.1377,5.642857142856997,3.898734177215255,2019,4.821428571428278,4.562962962963199,,-1.1136363636364026,,,False,,7.25,-1.0,-1.0
EURUSD,2019_B,2019-08-05 11:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.11795,1.11585175,20.98249999999968,ACTIVE_SHALLOW,1.1696,WIN,2.0,2.220898367687444,0.4527582509233984,44,M15_FLAG_PENNANT|2019-08-05T11:45:00+00:00|1.11795,7.099999999999566,2.9552816901409806,2019,7.049999999999715,2.9762411347518483,153719.0,-0.4527582509233984,3.345645180507629,-0.8387942332896511,False,,11.75,2.345645180507629,2.0
EURUSD,2019_B,2019-08-05 23:00:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.12309,1.1212000000000002,18.89999999999725,ACTIVE_SHALLOW,0.0,LOSS,-1.0,0.9947089947091944,1.1269841269842724,19,M15_FLAG_PENNANT|2019-08-05T23:00:00+00:00|1.12309,6.085714285714504,3.1056338028163384,2019,5.371428571428709,3.518617021275994,,-1.1269841269842724,,,False,,23.0,-1.0,-1.0
GBPUSD,2020_A,2020-10-01 05:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.29423,1.29337,8.599999999998609,ACTIVE_SHALLOW,2.5586,LOSS,-1.0,0.8953488372093744,1.9302325581398407,5,M15_FLAG_PENNANT|2020-10-01T05:45:00+00:00|1.29423,4.657142857142915,1.846625766870844,2020,4.485714285714331,1.9171974522294648,,-1.9302325581393427,,,False,,5.75,-1.0,-1.0
