symbol,window,time,agent,pattern,direction,entry,stop,stop_pips,fib_state,fib_pct,outcome,R,mfe_R,mae_R,bars_to_resolution,event_id
GBPUSD,2014_A,2014-02-03T17:15:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.62964,1.63310375,34.63750000000098,ACTIVE_SHALLOW,0.0,LOSS,-1.0,1.1490436665463035,1.3049440635149623,65,M15_FLAG_PENNANT|2014-02-03T17:15:00+00:00|1.62964
GBPUSD,2014_A,2014-02-05T03:15:00+00:00,M15_TRIANGLE_WEDGE,DESCENDING_TRIANGLE,SHORT,1.63243,1.6339899999999998,15.599999999997838,ACTIVE_LATCHED_RECOVERY,29.628,LOSS,-1.0,0.20512820512829638,1.057692307692409,8,M15_TRIANGLE_WEDGE|2014-02-05T03:15:00+00:00|1.63243
GBPUSD,2014_A,2014-02-05T22:15:00+00:00,M15_TRIANGLE_WEDGE,DESCENDING_TRIANGLE,SHORT,1.63031,1.63234,20.299999999999763,ACTIVE_LATCHED_RECOVERY,27.4838,LOSS,-1.0,0.09359605911325847,1.0246305418719734,6,M15_TRIANGLE_WEDGE|2014-02-05T22:15:00+00:00|1.63031
GBPUSD,2014_A,2014-02-06T05:00:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.62996,1.6324049999999999,24.449999999998084,ACTIVE_LATCHED_RECOVERY,25.594,LOSS,-1.0,1.1124744376279219,1.1942740286299642,37,M15_TRIANGLE_WEDGE|2014-02-06T05:00:00+00:00|1.62996
GBPUSD,2014_A,2014-02-07T13:00:00+00:00,M15_HEAD_SHOULDERS,HEAD_SHOULDERS,SHORT,1.63264,1.6346515,20.11499999999833,ACTIVE_PRIMARY_CORRECTION,40.0648,LOSS,-1.0,0.01491424310226151,1.8742232165051664,1,M15_HEAD_SHOULDERS|2014-02-07T13:00:00+00:00|1.63264
GBPUSD,2016_A,2016-06-14T05:30:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.41753,1.421831,43.0100000000011,ACTIVE_LATCHED_RECOVERY,17.3264,WIN,2.0,2.011160195303377,0.3324808184143236,64,M15_TRIANGLE_WEDGE|2016-06-14T05:30:00+00:00|1.41753
GBPUSD,2016_A,2016-06-16T05:15:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.41613,1.4210074999999998,48.77499999999646,ACTIVE_LATCHED_RECOVERY,30.322,WIN,2.0,2.148641722193912,0.8939005638134774,35,M15_TRIANGLE_WEDGE|2016-06-16T05:15:00+00:00|1.41613
GBPUSD,2016_A,2016-06-16T10:45:00+00:00,M15_TRIANGLE_WEDGE,SYMMETRICAL_TRIANGLE,SHORT,1.41235,1.41921275,68.62750000000028,ACTIVE_LATCHED_RECOVERY,14.5128,LOSS,-1.0,1.6203416997559248,1.3595133146333498,23,M15_TRIANGLE_WEDGE|2016-06-16T10:45:00+00:00|1.41235
GBPUSD,2016_A,2016-06-16T13:00:00+00:00,M15_IMPULSE_CORRECTION,,SHORT,1.40974,1.4156157500000002,58.75750000000179,ACTIVE_LATCHED_RECOVERY,3.5968,LOSS,-1.0,1.4483257456494503,1.2168659320086408,13,M15_IMPULSE_CORRECTION|2016-06-16T13:00:00+00:00|1.40974
GBPUSD,2016_A,2016-06-24T03:45:00+00:00,M15_FLAG_PENNANT,BEAR_FLAG,SHORT,1.3447,1.4172770000000001,725.7700000000011,ACTIVE_SHALLOW,14.9748,UNRESOLVED,0.0,0.44945368367389177,0.7338412995852681,480,M15_FLAG_PENNANT|2016-06-24T03:30:00+00:00|1.3447
GBPUSD,2016_A,2016-06-24T10:30:00+00:00,M15_CHANNEL,,SHORT,1.37218,1.3942085,220.28500000000005,ACTIVE_PRIMARY_CORRECTION,48.2258,WIN,2.0,2.152665864675307,0.5238668089066483,91,M15_CHANNEL|2016-06-24T10:30:00+00:00|1.37218
GBPUSD,2018_A,2018-10-16T08:30:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.32012,1.3177564999999998,23.63500000000185,ACTIVE_SHALLOW,0.0,LOSS,-1.0,1.4808546646921028,1.2904590649459524,34,M15_FLAG_PENNANT|2018-10-16T08:30:00+00:00|1.32012
GBPUSD,2018_A,2018-10-16T11:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.32266,1.32119,14.699999999998603,ACTIVE_SHALLOW,3.9024,LOSS,-1.0,0.1292517006803759,1.2585034013606007,3,M15_FLAG_PENNANT|2018-10-16T11:45:00+00:00|1.32266
GBPUSD,2020_A,2020-10-01T05:45:00+00:00,M15_FLAG_PENNANT,BULL_FLAG,LONG,1.29423,1.2933700000000001,8.599999999998609,ACTIVE_SHALLOW,2.5586,LOSS,-1.0,0.8953488372093744,1.9302325581398412,5,M15_FLAG_PENNANT|2020-10-01T05:45:00+00:00|1.29423
