time,agent,status,event_id,entry,final_stop,pkg_state
2021-05-03T04:15:00+00:00,M15_FLAG_PENNANT,VALID_TRIGGER,M15_FLAG_PENNANT|2021-05-03T04:15:00+00:00|1.20181,1.20181,1.20251,READY_FOR_SUPERVISOR_REVIEW
2021-05-03T12:45:00+00:00,M15_HEAD_SHOULDERS,VALID_TRIGGER,M15_HEAD_SHOULDERS|2021-05-03T12:45:00+00:00|1.2043,1.2043,1.2054999999999998,READY_FOR_SUPERVISOR_REVIEW
2021-05-03T22:15:00+00:00,M15_TRIANGLE_WEDGE,VALID_TRIGGER,M15_TRIANGLE_WEDGE|2021-05-03T22:15:00+00:00|1.20601,1.20601,1.206735,READY_FOR_SUPERVISOR_REVIEW
2021-05-04T08:45:00+00:00,M15_FLAG_PENNANT,VALID_TRIGGER,M15_FLAG_PENNANT|2021-05-04T08:45:00+00:00|1.20032,1.20032,1.20231,READY_FOR_SUPERVISOR_REVIEW
2021-05-04T12:45:00+00:00,M15_MULTIPLE_TOP_BOTTOM,EARLY_REVERSAL_CANDIDATE,M15_MULTIPLE_TOP_BOTTOM|2021-05-04T12:45:00+00:00|1.20257,1.20257,1.2066575,WAITING_FOR_CONFIRMATION
2021-05-05T05:45:00+00:00,M15_TRIANGLE_WEDGE,VALID_TRIGGER,M15_TRIANGLE_WEDGE|2021-05-05T05:45:00+00:00|1.20121,1.20121,1.2025799999999998,READY_FOR_SUPERVISOR_REVIEW
2021-05-05T06:45:00+00:00,M15_FLAG_PENNANT,VALID_TRIGGER,M15_FLAG_PENNANT|2021-05-05T06:45:00+00:00|1.19996,1.19996,1.2018399999999998,READY_FOR_SUPERVISOR_REVIEW
2021-05-05T10:00:00+00:00,M15_MULTIPLE_TOP_BOTTOM,EARLY_REVERSAL_CANDIDATE,M15_MULTIPLE_TOP_BOTTOM|2021-05-05T10:00:00+00:00|1.20095,1.20095,1.20173175,WAITING_FOR_CONFIRMATION
2021-05-05T12:15:00+00:00,M15_IMPULSE_CORRECTION,VALID_TRIGGER,M15_IMPULSE_CORRECTION|2021-05-05T12:15:00+00:00|1.19955,1.19955,1.2020899999999999,READY_FOR_SUPERVISOR_REVIEW
