time,open,high,low,close
2026-07-10T20:00:00+00:00,4104.24,4109.04,4097.74,4108.45
2026-07-13T00:00:00+00:00,4095.58,4103.13,4060.96,4073.97
2026-07-13T04:00:00+00:00,4073.94,4089.63,4050.03,4058.87
2026-07-13T08:00:00+00:00,4058.85,4080.7,4043.64,4074.52
2026-07-13T12:00:00+00:00,4074.54,4076.59,4046.4,4067.29
2026-07-13T16:00:00+00:00,4067.36,4067.58,3986.37,3993.18
2026-07-13T20:00:00+00:00,3993.23,4005.07,3986.55,4001.97
2026-07-14T00:00:00+00:00,3977.51,4007.18,3971.22,4004.16
2026-07-14T04:00:00+00:00,4004.16,4023.41,3992.08,4020.23
2026-07-14T08:00:00+00:00,4020.33,4034.05,4014.4,4015.97
2026-07-14T12:00:00+00:00,4015.96,4102.56,4013.69,4076.12
2026-07-14T16:00:00+00:00,4076.09,4100.67,4057.68,4061.52
2026-07-14T20:00:00+00:00,4061.52,4065.04,4042.8,4055.57
2026-07-15T00:00:00+00:00,4019.79,4060.66,4019.79,4058.99
2026-07-15T04:00:00+00:00,4058.99,4062.14,4027.94,4033.15
2026-07-15T08:00:00+00:00,4033.15,4036.58,4017.25,4031.15
2026-07-15T12:00:00+00:00,4031.14,4071.41,4025.43,4067.79
2026-07-15T16:00:00+00:00,4067.79,4074.02,4026.71,4033.75
2026-07-15T20:00:00+00:00,4033.73,4081.45,4032.74,4056.88
2026-07-16T00:00:00+00:00,4050.87,4065.25,4043.7,4044.49
2026-07-16T04:00:00+00:00,4044.49,4050.45,4024.15,4033.16
2026-07-16T08:00:00+00:00,4033.09,4036.49,4022.85,4035.23
2026-07-16T12:00:00+00:00,4035.28,4043.27,3990.34,3992.24
2026-07-16T16:00:00+00:00,3992.25,4016.84,3973.57,3992.03
2026-07-16T20:00:00+00:00,3992.03,3992.97,3969.1,3979.87
2026-07-17T00:00:00+00:00,3973.91,3991.95,3971.79,3991.91
2026-07-17T04:00:00+00:00,3991.91,4008.57,3970.55,3981.74
2026-07-17T08:00:00+00:00,3981.74,4007.12,3975.2,3994.14
2026-07-17T12:00:00+00:00,3994.14,4002.45,3964.05,3966.09
2026-07-17T16:00:00+00:00,3966.02,4023.72,3959.56,4014.93
2026-07-17T20:00:00+00:00,4014.98,4019.22,4002.31,4015.15
2026-07-20T00:00:00+00:00,4000.49,4010.13,3964.89,4008.63
2026-07-20T04:00:00+00:00,4008.6,4028.74,3995.42,4018.89
2026-07-20T08:00:00+00:00,4018.97,4030.62,4002.02,4019.0
2026-07-20T12:00:00+00:00,4018.97,4040.66,4006.45,4007.97
2026-07-20T16:00:00+00:00,4007.96,4019.34,3998.21,4009.79
2026-07-20T20:00:00+00:00,4009.79,4017.96,4003.2,4006.79
2026-07-21T00:00:00+00:00,4004.66,4027.04,3999.7,4024.76
2026-07-21T04:00:00+00:00,4024.78,4051.86,4018.4,4049.55
2026-07-21T08:00:00+00:00,4049.53,4084.13,4046.22,4062.78
2026-07-21T12:00:00+00:00,4062.82,4070.09,4050.98,4053.81
2026-07-21T16:00:00+00:00,4053.79,4083.41,4044.44,4071.41
2026-07-21T20:00:00+00:00,4071.41,4087.14,4066.7,4084.4
2026-07-22T00:00:00+00:00,4076.59,4102.36,4076.55,4097.42
2026-07-22T04:00:00+00:00,4097.44,4141.62,4096.72,4126.98
2026-07-22T08:00:00+00:00,4127.0,4135.26,4109.2,4118.31
2026-07-22T12:00:00+00:00,4118.29,4134.34,4106.52,4112.81
2026-07-22T16:00:00+00:00,4112.95,4166.0,4112.64,4146.79
2026-07-22T20:00:00+00:00,4146.79,4147.8,4128.89,4131.84
2026-07-23T00:00:00+00:00,4123.93,4134.68,4087.25,4132.14
2026-07-23T04:00:00+00:00,4132.11,4141.03,4112.11,4121.21
2026-07-23T08:00:00+00:00,4121.2,4130.51,4087.02,4093.41
2026-07-23T12:00:00+00:00,4093.38,4099.37,4060.97,4061.73
2026-07-23T16:00:00+00:00,4061.73,4067.29,4040.11,4051.46
2026-07-23T20:00:00+00:00,4051.52,4054.6,4040.67,4049.66
2026-07-24T00:00:00+00:00,4032.03,4050.82,4032.03,4049.7
2026-07-24T04:00:00+00:00,4049.65,4050.36,4022.93,4027.0
2026-07-24T08:00:00+00:00,4027.0,4058.65,4021.82,4057.43
2026-07-24T12:00:00+00:00,4057.5,4063.82,4051.35,4054.56
2026-07-24T16:00:00+00:00,4054.15,4082.04,4044.61,4066.98
2026-07-24T20:00:00+00:00,4067.0,4069.84,4049.16,4053.67
2026-07-27T00:00:00+00:00,4088.39,4116.23,4009.11,4100.77
2026-07-27T04:00:00+00:00,4100.76,4112.5,4085.06,4090.27
2026-07-27T08:00:00+00:00,4090.27,4106.01,4084.36,4095.18
2026-07-27T12:00:00+00:00,4095.18,4104.12,4081.43,4083.71
2026-07-27T16:00:00+00:00,4083.69,4093.92,4065.3,4082.28
2026-07-27T20:00:00+00:00,4082.3,4089.27,4070.59,4083.37
2026-07-28T00:00:00+00:00,4063.21,4081.42,4057.39,4057.8
2026-07-28T04:00:00+00:00,4057.68,4060.18,4040.28,4042.1
2026-07-28T08:00:00+00:00,4041.99,4055.09,4034.61,4045.42
2026-07-28T12:00:00+00:00,4045.31,4045.91,4016.89,4029.35
2026-07-28T16:00:00+00:00,4029.37,4047.04,4011.51,4037.49
2026-07-28T20:00:00+00:00,4037.67,4041.5,4021.66,4026.38
2026-07-29T00:00:00+00:00,4022.84,4029.87,4013.71,4021.83
2026-07-29T04:00:00+00:00,4021.83,4037.85,4010.12,4027.2
2026-07-29T08:00:00+00:00,4027.2,4047.66,4026.6,4037.52
2026-07-29T12:00:00+00:00,4037.5,4038.28,4009.16,4022.59
2026-07-29T16:00:00+00:00,4022.59,4032.68,3995.92,4027.24
2026-07-29T20:00:00+00:00,4027.26,4116.2,4027.13,4044.59
2026-07-30T00:00:00+00:00,4027.47,4100.37,4016.39,4072.18
2026-07-30T04:00:00+00:00,4072.18,4092.82,4044.2,4045.92
2026-07-30T08:00:00+00:00,4045.91,4072.73,4028.33,4061.4
2026-07-30T12:00:00+00:00,4061.42,4086.5,4060.33,4068.88
2026-07-30T16:00:00+00:00,4068.88,4120.29,4065.01,4110.75
2026-07-30T20:00:00+00:00,4110.78,4115.41,4098.53,4111.96
2026-07-31T00:00:00+00:00,4078.18,4111.67,4069.83,4094.66
2026-07-31T04:00:00+00:00,4094.62,4101.39,4071.97,4079.91
2026-07-31T08:00:00+00:00,4079.91,4087.42,4054.06,4060.92
2026-07-31T12:00:00+00:00,4060.7,4063.94,4040.41,4040.64
2026-07-31T16:00:00+00:00,4040.61,4052.62,4020.94,4043.24
2026-07-31T20:00:00+00:00,4043.23,4055.54,4041.38,4050.77
2026-08-03T00:00:00+00:00,4074.21,4079.24,4049.79,4057.06
2026-08-03T04:00:00+00:00,4057.09,4071.84,4047.25,4063.85
2026-08-03T08:00:00+00:00,4063.89,4072.07,4051.92,4059.46
2026-08-03T12:00:00+00:00,4059.46,4064.65,4042.21,4047.65
2026-08-03T16:00:00+00:00,4047.65,4053.6,4019.0,4036.91
2026-08-03T20:00:00+00:00,4036.93,4055.75,4029.65,4051.83
2026-08-04T00:00:00+00:00,4017.16,4069.1,4017.16,4049.14
2026-08-04T04:00:00+00:00,4049.11,4066.23,4042.45,4063.74
2026-08-04T08:00:00+00:00,4063.76,4072.8,4054.44,4055.06
2026-08-04T12:00:00+00:00,4055.02,4084.4,4045.51,4070.86
2026-08-04T16:00:00+00:00,4070.86,4093.87,4061.26,4093.31
2026-08-04T20:00:00+00:00,4093.28,4106.35,4075.17,4078.54
2026-08-05T00:00:00+00:00,4065.5,4085.73,4054.09,4082.41
2026-08-05T04:00:00+00:00,4082.39,4141.27,4077.46,4135.44
2026-08-05T08:00:00+00:00,4135.4,4179.44,4134.67,4160.46
2026-08-05T12:00:00+00:00,4160.56,4213.31,4150.13,4183.73
2026-08-05T16:00:00+00:00,4183.73,4265.11,4183.63,4242.27
2026-08-05T20:00:00+00:00,4242.3,4267.72,4236.79,4246.93
2026-08-06T00:00:00+00:00,4244.09,4300.17,4237.35,4294.69
2026-08-06T04:00:00+00:00,4294.69,4304.08,4252.78,4262.22
2026-08-06T08:00:00+00:00,4262.21,4278.83,4247.1,4278.27
2026-08-06T12:00:00+00:00,4278.27,4284.67,4249.04,4250.15
2026-08-06T16:00:00+00:00,4250.14,4275.28,4223.33,4241.39
2026-08-06T20:00:00+00:00,4241.42,4251.27,4232.95,4248.72
2026-08-07T00:00:00+00:00,4220.77,4252.94,4220.77,4232.66
2026-08-07T04:00:00+00:00,4232.64,4268.95,4231.61,4264.76
2026-08-07T08:00:00+00:00,4264.83,4316.52,4261.67,4306.01
2026-08-07T12:00:00+00:00,4306.0,4371.74,4300.97,4361.3
2026-08-07T16:00:00+00:00,4361.39,4367.73,4327.22,4329.0
2026-08-07T20:00:00+00:00,4328.99,4350.33,4327.75,4343.88
2026-08-10T00:00:00+00:00,4336.25,4350.02,4307.72,4331.87
2026-08-10T04:00:00+00:00,4331.93,4340.58,4313.07,4339.22
2026-08-10T08:00:00+00:00,4339.29,4361.88,4331.32,4346.47
2026-08-10T12:00:00+00:00,4346.47,4349.82,4323.99,4332.31
2026-08-10T16:00:00+00:00,4332.31,4364.64,4316.47,4356.76
2026-08-10T20:00:00+00:00,4356.76,4395.18,4351.61,4388.19
2026-08-11T00:00:00+00:00,4382.37,4419.08,4352.16,4409.22
2026-08-11T04:00:00+00:00,4409.69,4435.21,4393.48,4408.69
2026-08-11T08:00:00+00:00,4408.69,4408.83,4356.59,4369.04
2026-08-11T12:00:00+00:00,4369.04,4400.1,4367.43,4392.27
2026-08-11T16:00:00+00:00,4392.27,4404.01,4368.98,4383.31
2026-08-11T20:00:00+00:00,4383.23,4385.67,4360.11,4370.61
2026-08-12T00:00:00+00:00,4367.51,4383.57,4355.96,4380.44
2026-08-12T04:00:00+00:00,4380.44,4416.07,4378.27,4400.93
2026-08-12T08:00:00+00:00,4400.94,4410.43,4383.82,4401.72
2026-08-12T12:00:00+00:00,4401.75,4438.23,4381.56,4437.11
2026-08-12T16:00:00+00:00,4437.09,4441.09,4396.39,4401.5
2026-08-12T20:00:00+00:00,4401.53,4418.36,4396.31,4413.76
2026-08-13T00:00:00+00:00,4403.56,4449.63,4360.52,4427.89
2026-08-13T04:00:00+00:00,4427.63,4435.32,4391.47,4397.75
2026-08-13T08:00:00+00:00,4397.69,4407.23,4364.05,4375.83
2026-08-13T12:00:00+00:00,4375.86,4401.9,4372.39,4401.77
2026-08-13T16:00:00+00:00,4401.85,4402.17,4351.08,4366.96
2026-08-13T20:00:00+00:00,4366.9,4373.29,4343.58,4350.1
2026-08-14T00:00:00+00:00,4340.87,4364.09,4329.09,4340.96
2026-08-14T04:00:00+00:00,4340.92,4341.4,4310.73,4326.91
2026-08-14T08:00:00+00:00,4326.86,4349.67,4310.93,4348.61
2026-08-14T12:00:00+00:00,4348.61,4386.74,4346.04,4373.65
2026-08-14T16:00:00+00:00,4373.69,4396.87,4370.18,4385.88
2026-08-14T20:00:00+00:00,4385.95,4386.44,4370.71,4376.0
2026-08-17T00:00:00+00:00,4375.27,4402.05,4276.43,4400.71
2026-08-17T04:00:00+00:00,4400.71,4416.33,4387.87,4390.71
2026-08-17T08:00:00+00:00,4390.71,4411.32,4386.92,4395.0
2026-08-17T12:00:00+00:00,4394.99,4405.69,4377.17,4384.89
2026-08-17T16:00:00+00:00,4384.9,4428.83,4381.83,4424.24
2026-08-17T20:00:00+00:00,4424.24,4426.13,4398.14,4419.68
2026-08-18T00:00:00+00:00,4406.6,4434.93,4405.48,4434.64
2026-08-18T04:00:00+00:00,4434.34,4436.15,4388.76,4393.56
2026-08-18T08:00:00+00:00,4393.58,4403.64,4385.9,4393.21
2026-08-18T12:00:00+00:00,4393.23,4400.78,4386.97,4394.18
2026-08-18T16:00:00+00:00,4394.15,4406.56,4351.5,4363.79
2026-08-18T20:00:00+00:00,4363.63,4368.27,4338.24,4345.5
2026-08-19T00:00:00+00:00,4316.78,4347.09,4314.8,4337.91
2026-08-19T04:00:00+00:00,4337.79,4362.0,4324.46,4348.46
2026-08-19T08:00:00+00:00,4348.44,4363.17,4335.02,4355.6
2026-08-19T12:00:00+00:00,4355.58,4442.38,4353.4,4438.64
2026-08-19T16:00:00+00:00,4438.64,4499.34,4424.1,4493.34
2026-08-19T20:00:00+00:00,4493.53,4512.06,4472.16,4511.08
2026-08-20T00:00:00+00:00,4489.31,4526.85,4489.31,4504.58
2026-08-20T04:00:00+00:00,4504.51,4510.12,4484.39,4488.42
2026-08-20T08:00:00+00:00,4488.46,4498.7,4477.76,4489.24
2026-08-20T12:00:00+00:00,4489.28,4494.77,4450.54,4474.75
2026-08-20T16:00:00+00:00,4474.79,4540.91,4469.28,4509.9
2026-08-20T20:00:00+00:00,4510.02,4532.16,4507.68,4528.48
2026-08-21T00:00:00+00:00,4508.3,4532.66,4508.3,4510.39
2026-08-21T04:00:00+00:00,4510.38,4547.93,4508.65,4540.56
2026-08-21T08:00:00+00:00,4540.51,4584.93,4529.08,4584.1
2026-08-21T12:00:00+00:00,4584.11,4604.57,4563.36,4577.89
2026-08-21T16:00:00+00:00,4577.85,4629.13,4573.22,4628.76
