time,open,high,low,close
2026-07-10T20:00:00+00:00,1.14295,1.14314,1.14104,1.1414
2026-07-13T00:00:00+00:00,1.14004,1.1408,1.13875,1.13955
2026-07-13T04:00:00+00:00,1.13956,1.14052,1.13845,1.14038
2026-07-13T08:00:00+00:00,1.14038,1.1446,1.13957,1.1436
2026-07-13T12:00:00+00:00,1.14361,1.14375,1.14204,1.14309
2026-07-13T16:00:00+00:00,1.14309,1.14334,1.13827,1.13888
2026-07-13T20:00:00+00:00,1.13888,1.13909,1.13774,1.13798
2026-07-14T00:00:00+00:00,1.13809,1.13896,1.13782,1.13848
2026-07-14T04:00:00+00:00,1.13847,1.13968,1.13845,1.1390500000000001
2026-07-14T08:00:00+00:00,1.1390500000000001,1.1406,1.1384,1.13996
2026-07-14T12:00:00+00:00,1.13996,1.14625,1.13897,1.14459
2026-07-14T16:00:00+00:00,1.1446,1.14591,1.14241,1.14317
2026-07-14T20:00:00+00:00,1.14318,1.14335,1.14161,1.14206
2026-07-15T00:00:00+00:00,1.14206,1.14343,1.14173,1.14331
2026-07-15T04:00:00+00:00,1.14329,1.14425,1.14323,1.1437
2026-07-15T08:00:00+00:00,1.14371,1.14438,1.14198,1.1424400000000001
2026-07-15T12:00:00+00:00,1.14245,1.14303,1.1406,1.14285
2026-07-15T16:00:00+00:00,1.14285,1.14423,1.14235,1.14422
2026-07-15T20:00:00+00:00,1.14422,1.1482700000000001,1.1442,1.1463
2026-07-16T00:00:00+00:00,1.1463,1.14747,1.14615,1.14738
2026-07-16T04:00:00+00:00,1.14737,1.14741,1.14601,1.14662
2026-07-16T08:00:00+00:00,1.14662,1.14765,1.14622,1.14659
2026-07-16T12:00:00+00:00,1.14659,1.1470799999999999,1.14469,1.14477
2026-07-16T16:00:00+00:00,1.14477,1.14593,1.1434199999999999,1.14349
2026-07-16T20:00:00+00:00,1.14349,1.14446,1.14311,1.14428
2026-07-17T00:00:00+00:00,1.14418,1.1447,1.14395,1.14468
2026-07-17T04:00:00+00:00,1.14468,1.14482,1.14345,1.1436
