time,open,high,low,close
2026-07-10T20:00:00+00:00,1.41243,1.416,1.41227,1.41559
2026-07-13T00:00:00+00:00,1.4148800000000001,1.41718,1.4148800000000001,1.41695
2026-07-13T04:00:00+00:00,1.41695,1.41749,1.41532,1.41539
2026-07-13T08:00:00+00:00,1.41539,1.41651,1.4132500000000001,1.41356
2026-07-13T12:00:00+00:00,1.41356,1.41438,1.41251,1.41344
2026-07-13T16:00:00+00:00,1.41344,1.41554,1.41314,1.41489
2026-07-13T20:00:00+00:00,1.41489,1.4160300000000001,1.4145400000000001,1.41548
2026-07-14T00:00:00+00:00,1.41548,1.4157899999999999,1.41445,1.41479
2026-07-14T04:00:00+00:00,1.41479,1.41489,1.41285,1.41319
2026-07-14T08:00:00+00:00,1.41319,1.41358,1.4090099999999999,1.40926
2026-07-14T12:00:00+00:00,1.40926,1.41161,1.40545,1.40736
2026-07-14T16:00:00+00:00,1.40736,1.40748,1.40477,1.4060000000000001
2026-07-14T20:00:00+00:00,1.4060000000000001,1.40748,1.4058,1.40592
2026-07-15T00:00:00+00:00,1.40538,1.40675,1.40469,1.40473
2026-07-15T04:00:00+00:00,1.40473,1.4050500000000001,1.40396,1.40494
2026-07-15T08:00:00+00:00,1.40494,1.40592,1.40435,1.40551
2026-07-15T12:00:00+00:00,1.40551,1.40774,1.40521,1.40536
2026-07-15T16:00:00+00:00,1.4053499999999999,1.40682,1.40457,1.40488
2026-07-15T20:00:00+00:00,1.40488,1.40495,1.40246,1.40391
2026-07-16T00:00:00+00:00,1.40392,1.40443,1.40255,1.40389
2026-07-16T04:00:00+00:00,1.40389,1.4054,1.4037600000000001,1.40473
2026-07-16T08:00:00+00:00,1.40473,1.41058,1.40404,1.40419
2026-07-16T12:00:00+00:00,1.40419,1.40483,1.40202,1.4028800000000001
2026-07-16T16:00:00+00:00,1.4028800000000001,1.40515,1.40103,1.40504
2026-07-16T20:00:00+00:00,1.40504,1.40584,1.40411,1.40416
2026-07-17T00:00:00+00:00,1.4040300000000001,1.40482,1.40337,1.4034499999999999
2026-07-17T04:00:00+00:00,1.4034499999999999,1.40415,1.40295,1.40373
2026-07-17T08:00:00+00:00,1.40373,1.40402,1.40259,1.40312
2026-07-17T12:00:00+00:00,1.40312,1.4040300000000001,1.40201,1.40255
2026-07-17T16:00:00+00:00,1.40255,1.40266,1.40054,1.4009800000000001
2026-07-17T20:00:00+00:00,1.40097,1.4022999999999999,1.40084,1.4022999999999999
2026-07-20T00:00:00+00:00,1.40052,1.40238,1.40052,1.40126
2026-07-20T04:00:00+00:00,1.40126,1.40134,1.4003999999999999,1.40053
2026-07-20T08:00:00+00:00,1.40053,1.4026399999999999,1.4003,1.40229
2026-07-20T12:00:00+00:00,1.40229,1.40524,1.40187,1.40453
2026-07-20T16:00:00+00:00,1.40453,1.40663,1.40393,1.40574
2026-07-20T20:00:00+00:00,1.40574,1.40725,1.40534,1.40699
2026-07-21T00:00:00+00:00,1.4067,1.40853,1.40529,1.4074499999999999
2026-07-21T04:00:00+00:00,1.40744,1.40814,1.40714,1.40716
2026-07-21T08:00:00+00:00,1.40716,1.4078,1.4058,1.40666
2026-07-21T12:00:00+00:00,1.40666,1.40817,1.40542,1.40755
2026-07-21T16:00:00+00:00,1.40755,1.41048,1.4074499999999999,1.4098
2026-07-21T20:00:00+00:00,1.4098,1.41116,1.40953,1.41065
2026-07-22T00:00:00+00:00,1.4104999999999999,1.41116,1.41011,1.41052
2026-07-22T04:00:00+00:00,1.41052,1.41085,1.40991,1.41053
2026-07-22T08:00:00+00:00,1.41053,1.41066,1.40824,1.40941
2026-07-22T12:00:00+00:00,1.40941,1.4105400000000001,1.4081000000000001,1.40914
2026-07-22T16:00:00+00:00,1.40914,1.40947,1.40766,1.40934
2026-07-22T20:00:00+00:00,1.40934,1.4095,1.40805,1.40863
2026-07-23T00:00:00+00:00,1.40863,1.409,1.40729,1.40798
2026-07-23T04:00:00+00:00,1.40798,1.40798,1.4061,1.40648
2026-07-23T08:00:00+00:00,1.40648,1.4077899999999999,1.4056600000000001,1.40762
2026-07-23T12:00:00+00:00,1.40762,1.40916,1.40711,1.40831
2026-07-23T16:00:00+00:00,1.40831,1.41,1.40696,1.40769
2026-07-23T20:00:00+00:00,1.40768,1.4089800000000001,1.40753,1.40842
2026-07-24T00:00:00+00:00,1.40823,1.40869,1.40707,1.40707
2026-07-24T04:00:00+00:00,1.40707,1.40842,1.40682,1.40821
2026-07-24T08:00:00+00:00,1.40821,1.40849,1.40662,1.40789
2026-07-24T12:00:00+00:00,1.40789,1.41066,1.40728,1.41052
2026-07-24T16:00:00+00:00,1.41102,1.41151,1.40744,1.40852
2026-07-24T20:00:00+00:00,1.40852,1.41042,1.40852,1.40886
2026-07-27T00:00:00+00:00,1.4085,1.40919,1.40733,1.40814
2026-07-27T04:00:00+00:00,1.40814,1.40872,1.40705,1.40839
2026-07-27T08:00:00+00:00,1.40839,1.4102700000000001,1.40808,1.40988
2026-07-27T12:00:00+00:00,1.40988,1.41093,1.40978,1.4109
2026-07-27T16:00:00+00:00,1.41089,1.41184,1.40994,1.41122
2026-07-27T20:00:00+00:00,1.41122,1.41265,1.41122,1.4123700000000001
2026-07-28T00:00:00+00:00,1.4123700000000001,1.41293,1.4114499999999999,1.41173
2026-07-28T04:00:00+00:00,1.41174,1.41229,1.4111099999999999,1.41191
2026-07-28T08:00:00+00:00,1.41191,1.41272,1.41101,1.41113
2026-07-28T12:00:00+00:00,1.41113,1.41181,1.41043,1.41134
2026-07-28T16:00:00+00:00,1.41135,1.41135,1.40861,1.40884
2026-07-28T20:00:00+00:00,1.40884,1.41116,1.4088,1.41055
2026-07-29T00:00:00+00:00,1.41055,1.41102,1.4095,1.41014
2026-07-29T04:00:00+00:00,1.41014,1.41059,1.40883,1.40906
